Rk,Player,Pos,Age,Tm,G,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
11,Giannis Antetokounmpo,PF,27,MIL,21,21,32.7,9.8,18.4,.532,1.1,4.1,.276,8.7,14.3,.607,.563,6.9,10.2,.673,1.9,10.0,11.8,6.0,1.1,1.7,3.2,2.9,27.6,686,31.4,.603,.225,.553,6.0,30.7,18.7,34.4,1.6,5.0,12.2,34.2,,2.7,1.4,4.1,.287,,7.2,3.3,10.5,2.2
12,Thanasis Antetokounmpo,SF,29,MIL,20,5,12.9,1.5,3.1,.484,0.0,0.3,.000,1.5,2.8,.536,.484,0.5,0.9,.588,1.1,2.1,3.2,0.8,0.5,0.2,0.7,1.8,3.5,257,10.4,.504,.097,.274,8.7,16.5,12.7,8.1,1.9,1.5,15.8,13.8,,0.1,0.4,0.5,.085,,-3.9,-0.6,-4.4,-0.2
13,Carmelo Anthony,PF,37,LAL,24,3,28.5,4.8,11.0,.441,2.6,6.1,.429,2.2,4.8,.457,.561,2.0,2.4,.828,0.6,3.1,3.8,0.9,0.8,0.6,0.8,2.3,14.3,684,14.6,.594,.559,.221,2.3,11.4,6.9,4.5,1.2,2.0,6.2,19.2,,1.1,0.5,1.7,.116,,1.1,-1.7,-0.5,0.3
14,Cole Anthony,PG,21,ORL,18,18,34.4,7.1,16.6,.426,2.7,7.6,.358,4.3,8.9,.484,.508,3.4,3.9,.871,0.5,6.1,6.6,6.0,1.0,0.2,2.9,2.6,20.2,619,17.6,.554,.460,.235,1.5,18.6,10.0,30.8,1.4,0.6,13.9,26.5,,0.7,0.4,1.1,.088,,2.3,-1.2,1.1,0.5
15,OG Anunoby,SF,24,TOR,15,15,37.3,7.6,17.7,.430,2.7,7.5,.366,4.9,10.2,.477,.508,2.2,2.7,.825,1.6,3.8,5.4,2.7,1.5,0.6,1.7,2.7,20.1,560,16.8,.534,.423,.151,4.4,11.7,7.9,11.8,2.1,1.6,8.1,23.6,,0.8,0.4,1.3,.109,,1.6,-0.8,0.9,0.4
16,DJ Augustin,PG,34,HOU,19,0,12.5,1.3,3.1,.407,0.9,2.2,.405,0.4,0.9,.412,.551,0.8,0.9,.882,0.1,0.8,0.9,2.1,0.2,0.0,1.1,0.6,4.2,238,10.0,.602,.712,.288,0.9,7.0,4.0,24.5,0.8,0.0,24.0,15.5,,0.2,0.1,0.3,.051,,-2.0,-2.4,-4.4,-0.1
17,Deni Avdija,SF,21,WAS,24,0,21.5,2.3,5.3,.430,0.8,2.6,.306,1.5,2.8,.545,.504,0.9,1.3,.656,0.8,4.1,4.9,1.2,0.5,0.8,0.5,2.1,6.3,517,11.5,.528,.484,.250,4.1,19.4,12.1,7.7,1.3,2.8,8.4,13.4,,0.4,0.7,1.0,.096,,-1.7,1.0,-0.7,0.2
18,Joel Ayayi,SG,21,WAS,4,0,2.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,10,9.0,,,,0.0,20.5,10.7,24.8,0.0,0.0,,0.0,,0.0,0.0,0.0,.121,,-3.0,2.2,-0.9,0.0
19,Deandre Ayton,C,23,PHO,17,17,30.6,7.4,11.9,.619,0.1,0.3,.200,7.3,11.6,.629,.621,1.7,2.8,.617,3.0,8.2,11.2,1.4,0.8,0.7,1.6,2.4,16.5,521,21.4,.629,.025,.233,10.6,27.1,19.1,6.9,1.3,2.0,10.8,20.8,,1.2,1.0,2.2,.199,,1.7,-0.1,1.5,0.5
20,Udoka Azubuike,C,22,UTA,4,0,2.0,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.0,0.0,,0.3,0.8,1.0,0.0,0.0,0.0,0.3,0.0,0.5,8,13.2,1.000,.000,.000,14.5,38.8,27.4,0.0,0.0,0.0,50.0,10.9,,0.0,0.0,0.0,.076,,-0.9,-1.2,-2.1,0.0
