,Team,Season,eFG%,TOV%,ORB%,FTr,Opp eFG%,Opp TOV%,DRB%,Opp FTr,W,L,Outcome
94,Portland Trail Blazers,2016,51.1,13.2,25.9,20.200000000000003,50.3,12.1,76.2,22.5,44,38,1
95,Phoenix Suns,2016,48.699999999999996,15.2,25.4,20.4,52.300000000000004,13.5,77.1,23.7,23,59,-1
96,Indiana Pacers,2016,49.7,13.5,23.4,20.5,48.9,14.3,76.0,20.5,45,37,0
97,Denver Nuggets,2016,48.9,13.2,25.8,21.6,51.5,12.6,77.3,21.6,33,49,-1
98,New Orleans Pelicans,2016,49.8,12.3,21.2,20.1,52.300000000000004,12.7,78.8,22.5,30,52,-1
99,Los Angeles Clippers,2016,52.400000000000006,12.1,20.1,22.0,48.0,13.8,73.8,22.2,53,29,0
100,Atlanta Hawks,2016,51.6,13.8,19.1,18.5,48.0,14.4,74.6,19.400000000000002,48,34,1
101,Sacramento Kings,2016,51.0,14.2,23.9,21.4,52.1,14.0,74.9,20.200000000000003,33,49,-1
102,Golden State Warriors,2016,56.3,13.5,23.5,19.1,47.9,12.6,76.0,20.8,73,9,3
103,Philadelphia 76ers,2016,48.699999999999996,14.8,20.6,18.6,51.0,13.5,74.0,24.0,10,72,-1
104,Memphis Grizzlies,2016,47.699999999999996,12.3,25.3,23.1,51.800000000000004,15.2,75.1,25.1,42,40,0
105,Boston Celtics,2016,48.8,12.1,25.1,20.8,48.699999999999996,14.6,74.6,23.1,48,34,0
106,Dallas Mavericks,2016,50.2,12.0,20.6,21.099999999999998,50.4,12.8,76.2,19.8,42,40,0
107,Minnesota Timberwolves,2016,49.8,13.9,24.3,26.3,52.400000000000006,13.6,74.7,20.0,29,53,-1
108,Toronto Raptors,2016,50.4,12.3,24.6,25.5,49.8,12.7,77.7,20.1,56,26,2
109,San Antonio Spurs,2016,52.6,12.4,23.0,19.7,47.699999999999996,14.1,79.1,18.2,67,15,1
110,Chicago Bulls,2016,48.699999999999996,12.6,24.5,18.9,48.5,10.7,74.9,18.2,42,40,-1
111,Los Angeles Lakers,2016,46.0,12.5,23.1,22.8,52.300000000000004,11.6,74.7,20.200000000000003,17,65,-1
112,Charlotte Hornets,2016,50.2,11.7,20.0,22.2,49.6,12.5,79.8,19.1,48,34,0
113,Houston Rockets,2016,51.6,14.2,25.7,24.4,51.6,14.7,72.8,21.9,41,41,0
