,Rk,Player,Pos,Age,Tm,G,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
336,337,Leon Powe,C-PF,27,TOT,30,3,10.475,1.975,3.95,0.49,0.0,0.075,,1.975,3.825,0.51,0.49,1.45,2.525,0.56,0.725,1.275,2.0,0.225,0.3,0.125,0.4,1.475,5.325,199.25,15.875,0.53,0.021,0.645,7.82,14.28,11.02,4.38,1.43,0.82,7.5,24.12,,0.275,0.125,0.4,0.106,,-1.725,-1.75,-3.425,-0.1
337,338,Josh Powell,PF,28,ATL,54,0,12.1,1.7,3.9,.452,0.0,0.0,.000,1.7,3.8,.454,.452,0.7,0.8,.800,0.9,1.6,2.5,0.4,0.1,0.1,1.0,1.4,4.1,653,8.0,.492,.005,.216,9.1,15.8,12.5,5.5,0.4,0.6,18.9,20.4,,-0.7,0.5,-0.2,-0.012,,-5.0,-2.3,-7.3,-0.9
338,339,AJ Price,PG,24,IND,50,0,15.9,2.3,6.4,.356,0.8,3.0,.275,1.5,3.4,.427,.420,1.1,1.6,.667,0.3,1.1,1.4,2.2,0.6,0.0,1.1,1.2,6.5,795,10.7,.454,.466,.253,2.3,7.8,5.0,22.7,1.8,0.1,13.0,22.7,,-0.4,0.7,0.3,.020,,-1.9,-1.1,-2.9,-0.2
339,340,Ronnie Price,SG,27,UTA,59,0,12.2,1.3,3.6,.352,0.3,1.2,.290,0.9,2.4,.383,.400,0.5,0.7,.744,0.4,0.7,1.0,0.9,0.7,0.1,0.9,1.8,3.3,717,5.5,.434,.329,.186,3.7,6.6,5.1,11.7,3.1,0.6,19.5,18.0,,-1.2,0.5,-0.7,-0.048,,-6.2,-0.1,-6.3,-0.8
340,341,Tayshaun Prince,SF,30,DET,78,78,32.8,6.1,12.8,.473,0.4,1.3,.347,5.6,11.6,.486,.490,1.5,2.2,.702,1.0,3.2,4.2,2.8,0.4,0.5,1.1,1.2,14.1,2562,15.1,.511,.098,.168,3.6,12.6,7.9,14.4,0.6,1.3,7.1,21.0,,2.9,0.4,3.3,.062,,1.0,-1.8,-0.8,0.7
341,342,Joel Przybilla,C,31,TOT,36,9,14.6,0.75,1.575,0.49,0.0,0.0,,0.75,1.575,0.49,0.49,0.3,0.775,0.4,1.375,3.0,4.375,0.2,0.075,0.325,1.075,2.65,1.8,278.0,3.5,0.49,0.0,0.522,11.25,25.62,18.23,1.95,0.28,1.8,35.52,9.6,,-0.1,0.35,0.225,-0.009,,-7.45,-0.55,-8.025,-0.25
342,343,Chris Quinn,PG,27,SAS,41,0,7.1,0.8,2.2,.363,0.3,0.9,.297,0.5,1.3,.407,.423,0.1,0.2,.500,0.1,0.5,0.6,1.0,0.1,0.0,0.3,0.7,2.0,292,7.5,.428,.407,.088,1.2,8.5,5.0,21.1,0.9,0.2,11.3,16.8,,-0.1,0.2,0.1,.024,,-3.4,-0.9,-4.3,-0.2
343,344,Vladimir Radmanovic,PF,30,GSW,74,6,15.8,1.9,4.3,.431,0.9,2.3,.405,0.9,2.0,.462,.541,0.4,0.5,.882,0.9,2.0,2.9,1.1,0.6,0.6,0.8,2.1,5.1,1169,12.6,.562,.544,.107,6.1,14.7,10.3,9.6,1.9,2.9,14.6,14.7,,1.2,0.9,2.1,.086,,-0.5,0.4,-0.1,0.6
344,345,Anthony Randolph,C-PF,21,TOT,40,3,15.625,3.325,7.05,0.44,0.025,0.075,,3.325,6.975,0.44,0.45,1.625,2.325,0.65,1.125,3.05,4.2,0.85,0.6,0.625,1.425,1.625,8.275,410.75,15.2,0.48,0.026,0.317,8.2,23.1,15.5,9.62,1.82,3.23,15.18,25.27,,-0.05,0.45,0.425,0.026,,-2.275,-0.425,-2.675,0.025
345,346,Zach Randolph,PF,29,MEM,75,74,36.3,8.0,15.8,.503,0.1,0.6,.186,7.9,15.3,.515,.507,4.0,5.3,.758,4.3,7.8,12.2,2.2,0.8,0.3,2.0,2.3,20.1,2724,22.6,.552,.036,.333,14.2,26.0,20.1,10.2,1.2,0.7,10.0,25.0,,6.8,3.7,10.5,.185,,3.8,-1.2,2.6,3.2
